Temperature,Humidity,Light,Voltage,Controller ID,Output
32.4,47,245.69,2.65,2,1
32.4,47,253.46,2.57,5,1
32.4,47,246.35,2.58,1,1
32.4,47,269.43,2.63,4,1
32.4,47,237.02,2.66,5,1
32.4,47,256.96,2.63,3,1
32.4,47,259.45,2.59,2,1
32.4,47,248.02,2.6,5,1
32.4,47,268.67,2.59,1,1
32.3,47,255.2,2.68,4,1
32.3,47,222.42,2.72,3,1
32.3,47,241.14,2.52,3,1
32.3,47,262.71,2.7,3,1
32.3,47,252.09,2.68,1,1
32.3,47,252.09,2.61,2,1
32.3,47,275.23,2.59,4,1
32.3,48,278.8,2.58,4,1
32.4,47,286.17,2.54,1,1
32.3,48,232.1,2.67,1,1
32.3,48,236.71,2.55,2,1
32.3,48,270.96,2.58,4,1
32.3,48,247.68,2.6,3,1
32.3,48,267.91,2.66,5,1
32.3,48,253.46,2.58,3,1
32.3,48,266.79,2.61,5,1
32.3,48,246.35,2.68,2,1
32.3,48,247.02,2.69,4,1
32.3,48,261.99,2.66,1,1
32.3,48,245.36,2.59,4,1
32.3,48,240.18,2.61,2,1
32.3,48,268.67,2.61,2,1
32.5,48,246.35,2.65,3,1
32.3,48,266.79,2.66,4,1
32.3,48,243.07,2.69,4,1
32.3,48,259.81,2.65,4,1
32.3,48,257.32,2.61,4,1
32.3,48,248.02,2.6,5,1
32.3,48,257.32,2.6,3,1
32.3,48,264.92,2.68,4,1
32.3,48,261.99,2.55,5,1
32.3,48,260.53,2.62,3,1
32.3,48,253.81,2.57,5,1
32.3,48,244.38,2.6,5,1
32.4,48,253.12,2.55,4,1
32.4,48,272.5,2.58,4,1
32.5,48,245.36,2.61,1,1
32.4,48,262.35,2.66,4,1
32.4,48,233.01,2.56,4,1
32.4,48,237.96,2.57,5,1
32.4,48,246.02,2.67,3,1
32.4,48,231.8,2.65,2,1
32.4,48,253.81,2.64,2,1
32.4,48,244.38,2.57,5,1
32.4,48,232.71,2.62,1,1
32.4,48,232.71,2.67,2,1
32.5,48,221.85,2.64,3,1
32.5,48,228.51,2.59,3,1
32.4,48,226.16,2.69,3,1
32.4,48,263.08,2.66,4,1
32.5,48,262.71,2.62,2,1
32.4,48,264.92,2.64,2,1
32.4,48,244.7,2.53,1,1
32.4,48,241.46,2.68,4,1
32.4,48,246.02,2.59,5,1
32.4,48,272.5,2.58,5,1
32.4,48,257.67,2.65,1,1
32.4,48,270.96,2.65,1,1
32.4,48,244.7,2.69,1,1
32.4,48,263.08,2.7,2,1
32.4,48,249.36,2.59,4,1
32.4,48,244.7,2.65,1,1
32.4,48,247.02,2.56,3,1
32.4,48,236.71,2.58,4,1
32.5,48,268.67,2.66,3,1
32.5,48,260.9,2.64,4,1
32.4,48,256.61,2.66,5,1
32.4,48,245.36,2.65,1,1
32.4,48,250.72,2.64,4,1
32.4,48,267.16,2.63,3,1
32.4,48,261.99,2.57,3,1
32.4,48,249.36,2.7,1,1
32.4,48,253.46,2.57,3,1
32.4,48,240.82,2.6,1,1
32.4,48,246.35,2.68,5,1
32.4,48,248.35,2.58,5,1
32.4,48,237.02,2.56,5,1
32.4,48,238.28,2.63,4,1
32.4,48,226.16,2.59,5,1
32.4,48,258.03,2.64,3,1
32.4,48,226.45,2.56,2,1
32.4,48,267.16,2.59,3,1
32.5,48,252.09,2.67,3,1
32.5,48,269.43,2.57,3,1
32.4,48,232.1,2.6,1,1
32.4,48,246.35,2.61,4,1
32.5,48,241.46,2.67,1,1
32.4,48,256.96,2.66,4,1
32.4,48,238.91,2.59,3,1
32.4,48,241.46,2.49,3,1
32.5,48,261.99,2.67,1,1
32.5,48,248.35,2.57,3,1
32.5,48,249.36,2.58,3,1
32.4,48,236.09,2.54,4,1
32.4,48,272.5,2.62,4,1
32.4,48,251.74,2.68,3,1
32.4,48,267.16,2.64,2,1
32.4,48,238.91,2.58,4,1
32.4,48,262.71,2.54,1,1
32.4,48,250.04,2.68,4,1
32.4,48,250.04,2.65,5,1
32.4,48,263.45,2.58,5,1
32.4,48,242.75,2.6,4,1
32.4,48,239.22,2.62,3,1
32.4,48,254.16,2.58,2,1
32.4,48,257.32,2.57,1,1
32.4,48,237.02,2.6,2,1
32.4,48,240.5,2.71,1,1
32.4,48,248.02,2.61,5,1
32.5,48,217.39,2.68,4,1
32.5,48,251.74,2.63,1,1
32.5,48,261.99,2.66,2,1
32.5,48,276.02,2.68,4,1
32.5,48,251.74,2.66,5,1
32.5,48,261.26,2.68,3,1
32.5,47,229.4,2.65,5,1
32.5,47,237.65,2.63,5,1
32.5,47,259.81,2.57,5,1
32.5,47,269.81,2.67,5,1
32.5,48,251.06,2.65,3,1
32.5,48,236.4,2.63,4,1
32.5,48,237.65,2.53,3,1
32.5,48,240.18,2.57,1,1
32.5,48,252.09,2.63,4,1
32.5,48,245.69,2.69,3,1
32.5,48,250.04,2.64,1,1
32.5,48,268.67,2.65,3,1
32.5,54.83475897,249.03,2.57,3,1
30.10112545,48,249.36,2.52,1,1
32.5,48,256.26,2.58,5,1
32.5,48,256.26,2.57,3,1
32.5,48,244.7,2.62,1,1
32.5,48,254.85,2.62,3,1
32.5,48,237.65,2.63,3,1
32.5,48,235.47,2.62,4,1
32.5,48,267.16,2.68,1,1
32.5,48,246.35,2.62,4,1
32.5,48,242.1,2.63,1,1
32.5,48,248.02,2.65,4,1
32.4,48,233.93,2.61,1,1
32.4,48,274.05,2.66,4,1
32.4,48,267.16,2.62,5,1
32.5,48,236.09,2.56,4,1
32.4,48,248.69,2.68,5,1
32.5,48,242.1,2.63,5,1
32.5,48,258.03,2.61,5,1
32.5,48,261.99,2.61,5,1
32.5,47,256.26,2.63,5,1
32.5,47,250.04,2.67,5,1
32.5,46,257.32,2.63,5,1
32.5,46,249.7,2.61,2,1
32.5,46,246.68,2.64,4,1
32.7,46,256.26,2.61,1,1
32.7,46,272.89,2.58,2,1
32.7,46,254.85,2.6,5,1
32.7,47,257.67,2.62,4,1
33.1,46,252.77,2.65,3,1
32.7,46,249.7,2.65,4,1
32.7,46,243.07,2.62,2,1
32.7,47,255.2,2.56,2,1
32.7,47,260.53,2.6,4,1
32.7,54.83475897,255.2,2.58,5,1
30.10112545,47,272.89,2.64,5,1
32.7,46,239.22,2.61,2,1
32.7,46,271.34,2.61,5,1
32.7,46,234.54,2.6,5,1
32.7,46,248.02,2.61,5,1
32.7,46,246.35,2.68,2,1
32.7,46,232.1,2.63,3,1
32.5,46,244.7,2.63,3,1
32.7,47,255.55,2.61,1,1
32.7,47,263.08,2.64,5,1
32.7,46,269.81,2.65,4,1
32.7,46,247.02,2.59,1,1
32.7,47,231.49,2.6,4,1
32.5,46,246.35,2.59,4,1
32.7,47,260.53,2.64,4,1
32.7,47,251.74,2.66,4,1
32.5,47,236.09,2.66,5,1
32.5,47,265.29,2.69,4,1
32.9,54.83475897,236.09,2.66,5,1
30.10112545,47,267.91,2.54,1,1
32.5,47,246.02,2.57,3,1
32.5,47,267.16,2.67,1,1
32.5,47,262.71,2.69,4,1
32.5,47,244.05,2.58,3,1
32.5,47,253.46,2.61,3,1
32.5,47,245.69,2.63,1,1
32.5,47,267.16,2.65,1,1
32.5,47,260.53,2.7,5,1
32.5,47,226.45,2.6,5,1
32.5,47,237.02,2.62,2,1
32.5,47,236.09,2.66,5,1
32.5,48,249.03,2.65,2,1
32.5,47,221.85,2.66,1,1
32.5,48,268.29,2.57,5,1
32.5,48,253.81,2.65,3,1
32.5,48,268.67,2.65,3,1
32.4,48,241.78,2.65,3,1
32.4,47,242.75,2.58,2,1
32.4,47,240.82,2.56,1,1
32.4,47,236.09,2.69,4,1
32.4,47,244.05,2.65,4,1
32.4,48,260.53,2.65,5,1
32.4,47,226.45,2.61,1,1
32.4,47,269.05,2.56,2,1
32.4,47,246.02,2.64,2,1
32.4,47,244.05,2.64,4,1
32.4,46,264.18,2.6,3,1
32.4,46,263.82,2.61,4,1
32.4,47,252.77,2.61,3,1
32.5,46,241.78,2.6,5,1
32.5,54.83475897,245.36,2.68,1,1
30.10112545,54.83475897,239.86,2.6,2,1
30.10112545,46,217.94,2.62,5,1
32.5,46,269.05,2.67,5,1
32.5,46,248.69,2.61,1,1
32.5,47,250.72,2.68,1,1
32.5,46,242.1,2.66,3,1
32.5,46,265.67,2.6,2,1
32.5,47,254.85,2.58,3,1
32.5,46,220.44,2.58,2,1
32.5,46,226.45,2.6,3,1
32.5,46,225.29,2.58,1,1
32.5,46,252.77,2.69,1,1
32.5,46,261.99,2.64,4,1
32.5,46,250.72,2.63,3,1
32.5,46,218.77,2.61,5,1
32.5,46,253.46,2.71,1,1
32.5,46,268.29,2.61,2,1
32.5,46,234.23,2.55,4,1
32.5,46,240.5,2.59,5,1
32.5,46,242.1,2.62,4,1
32.5,46,264.92,2.6,1,0
32.5,46,254.85,2.68,5,0
32.5,47,261.26,2.68,2,0
32.5,47,237.02,2.67,5,0
32.5,47,248.02,2.69,1,0
32.5,47,226.74,2.7,5,0
32.5,47,234.54,2.61,1,0
32.5,47,226.74,2.56,2,0
32.5,47,269.05,2.64,5,0
32.5,47,225,2.58,5,0
32.5,47,240.82,2.58,4,0
32.4,47,252.43,2.67,1,0
32.4,47,237.33,2.55,5,0
32.4,47,247.35,2.63,3,0
32.4,47,246.02,2.53,1,0
32.4,47,212.53,2.57,5,0
32.3,47,248.35,2.67,4,0
32.3,48,215.48,2.7,3,0
32.4,48,247.35,2.61,2,0
32.3,48,252.09,2.57,3,0
32.3,48,251.74,2.62,5,0
32.3,48,257.67,2.61,1,0
32.3,48,254.85,2.63,4,0
32.3,48,219.88,2.68,2,0
32.3,48,236.09,2.63,1,0
32.3,48,267.91,2.71,3,0
32.3,48,256.26,2.61,5,0
32.2,48,217.39,2.55,1,0
32.2,48,220.16,2.61,5,0
32.2,54.83475897,246.68,2.66,4,0
30.10112545,49,264.92,2.59,4,0
32.3,49,211.47,2.65,4,0
32.1,49,221.29,2.64,5,0
32.2,49,225.58,2.65,3,0
32.1,49,249.7,2.59,2,0
32.1,49,225.87,2.59,1,0
32.1,49,247.02,2.58,4,0
32.1,49,251.4,2.6,3,0
32.1,54.83475897,206.03,2.68,1,0
30.10112545,49,226.45,2.52,4,0
32.1,49,226.45,2.57,2,0
32.2,49,258.38,2.63,5,0
32.1,54.83475897,240.82,2.65,4,0
30.10112545,49,234.85,2.56,5,0
32.2,49,242.75,2.62,5,0
32.1,49,245.36,2.68,4,0
32.2,49,225.87,2.64,2,0
32.2,49,217.94,2.66,4,0
32.2,49,263.08,2.6,4,0
32.1,48,219.05,2.65,4,0
32.2,48,228.51,2.65,2,0
32.1,48,236.09,2.72,3,0
32.1,48,226.45,2.64,3,0
32.1,48,250.72,2.65,4,0
32.1,48,213.33,2.69,1,0
32.1,48,225.29,2.72,4,0
32.1,48,225.58,2.62,3,0
32.1,48,240.82,2.58,4,0
32.1,48,245.36,2.7,2,0
32.1,48,232.4,2.59,1,0
32.2,48,247.35,2.63,1,0
32.1,48,225.29,2.56,5,0
32.1,48,259.45,2.67,3,0
32.2,48,226.45,2.56,5,0
32.1,48,252.09,2.57,5,0
32.2,48,221,2.67,2,0
32.2,48,256.96,2.71,1,0
32.2,48,219.88,2.71,1,0
32.2,48,219.05,2.67,2,0
32.2,48,243.07,2.68,5,0
32.2,48,266.41,2.62,4,0
32.2,48,253.46,2.67,1,0
32.2,48,263.82,2.69,1,0
32.2,48,258.03,2.59,3,0
32.1,48,227.33,2.62,4,0
32.2,48,257.32,2.6,3,0
32.2,48,220.16,2.7,3,0
32.2,48,226.45,2.56,1,0
32.2,48,213.06,2.55,4,0
32.2,48,217.39,2.56,3,0
32.1,48,245.69,2.71,2,0
32.2,48,246.35,2.61,4,0
32.2,48,225.58,2.65,4,0
32.2,48,221.85,2.58,5,0
32.1,48,231.49,2.66,3,0
32.1,48,245.36,2.58,2,0
32.1,48,219.88,2.67,5,0
32.1,48,206.54,2.61,1,0
32.1,54.83475897,235.47,2.68,4,0
30.10112545,48,226.16,2.59,2,0
32.1,48,246.35,2.66,1,0
32.1,54.83475897,246.35,2.56,2,0
30.10112545,48,228.21,2.46,3,0
32.1,48,220.44,2.65,5,0
32.1,48,236.4,2.67,3,0
32.2,48,222.42,2.67,1,0
32.1,48,226.45,2.56,5,0
32.1,48,244.38,2.67,4,0
32.1,48,211.47,2.62,4,0
32.1,48,237.02,2.55,3,0
32.1,48,213.33,2.58,4,0
32.1,54.83475897,263.45,2.6,2,0
30.10112545,48,204.52,2.64,1,0
32.1,48,236.09,2.56,4,0
32,54.83475897,213.59,2.56,3,0
30.10112545,48,226.45,2.59,5,0
32.1,48,258.38,2.57,2,0
32.1,48,251.06,2.57,1,0
32.1,48,236.4,2.66,4,0
32.1,48,225.58,2.56,3,0
32.2,48,270.19,2.65,5,0
32.1,48,245.36,2.59,5,0
32.2,48,236.09,2.66,2,0
32.1,48,222.42,2.7,4,0
32.1,48,256.26,2.62,5,0
32.2,48,243.07,2.61,2,0
32.1,48,207.05,2.66,1,0
32.1,48,261.99,2.58,4,0
32.1,48,208.6,2.63,2,0
32.1,48,222.13,2.63,1,0
32.1,48,250.72,2.56,4,0
32.1,48,251.06,2.65,1,0
32.1,48,225,2.69,1,0
32.1,48,242.75,2.74,1,0
32.1,48,239.86,2.68,4,0
32.1,54.83475897,211.47,2.59,1,0
30.10112545,49,225.58,2.58,2,0
32.1,49,258.74,2.61,5,0
32.1,49,228.21,2.66,5,0
32.1,49,257.32,2.61,3,0
32.1,49,226.45,2.62,3,0
32.1,49,214.4,2.66,1,0
32.1,49,236.09,2.62,3,0
32.1,49,238.91,2.57,4,0
32.1,49,217.39,2.63,1,0
32.1,49,251.06,2.64,1,0
32.1,49,246.35,2.59,1,0
32.1,49,219.88,2.62,1,0
32.1,49,239.54,2.69,1,0
32.1,49,247.35,2.58,3,0
32.1,49,200.56,2.65,2,0
32.1,49,241.46,2.7,1,0
32.1,49,227.92,2.57,2,0
32.1,49,221,2.67,1,0
32.1,49,242.1,2.58,4,0
32,49,246.68,2.59,5,0
32.1,49,246.02,2.68,3,0
32.1,49,217.66,2.66,2,0
32.1,48,224.42,2.65,1,0
32.1,48,236.4,2.57,2,0
32.1,48,222.13,2.59,4,0
32.1,48,224.42,2.62,1,0
32.1,48,204.52,2.59,1,0
32.1,48,217.66,2.65,4,0
32.1,48,226.45,2.66,3,0
32.1,48,246.68,2.59,4,0
32.1,48,241.14,2.61,1,0
32.1,48,233.01,2.57,5,0
32.1,48,220.44,2.66,4,0
32.1,48,207.05,2.65,4,0
32.1,48,224.71,2.69,3,0
32.1,48,236.09,2.64,4,0
32.1,48,237.02,2.56,3,0
32.1,48,220.16,2.62,4,0
32.1,48,222.13,2.66,4,0
32.1,48,214.94,2.66,2,0
32.1,49,217.39,2.63,4,0
32.1,49,216.84,2.63,5,0
32.1,49,218.77,2.63,5,0
32,49,233.93,2.65,2,0
32,49,226.45,2.6,3,0
32,49,211.73,2.63,5,0
32,49,211.21,2.58,3,0
32,49,214.67,2.57,2,0
32,49,219.33,2.68,4,0
32,49,216.57,2.63,1,0
32,49,213.59,2.65,1,0
32,49,215.48,2.56,1,0
32,49,221,2.6,1,0
32,54.83475897,221,2.57,2,0
30.10112545,49,219.88,2.61,1,0
32,49,223.85,2.57,2,0
32,54.83475897,226.16,2.64,4,0
30.10112545,49,237.96,2.58,2,0
32,49,234.54,2.59,2,0
32,49,244.05,2.57,2,0
32,49,223.56,2.64,2,0
32,49,152,2.57,5,0
32,54.83475897,160.63,2.66,3,0
30.10112545,49,144.92,2.58,3,0
32,49,166.12,2.63,3,0
32,49,160.99,2.58,5,0
32,49,150.03,2.6,1,0
32,49,158.68,2.66,5,0
32,49,159.74,2.62,4,0
32,49,152.17,2.57,2,0
32,49,155.21,2.59,4,0
32,49,161.71,2.58,4,0
32,49,150.68,2.57,5,0
32,49,147.44,2.6,2,0
32,49,156.93,2.61,2,0
32,49,160.45,2.62,3,0
32,49,149.7,2.6,3,0
32,49,148.73,2.61,4,0
32,49,151.51,2.66,3,0
32,49,157.8,2.65,2,0
32,49,155.03,2.66,5,0
32,49,144.14,2.7,3,0
32,49,141.84,2.68,3,0
32,49,159.38,2.66,3,0
32,49,154.18,2.69,1,0
31.9,49,143.83,2.61,1,0
31.9,49,144.76,2.67,2,0
31.9,48,143.67,2.6,1,0
32,48,145.38,2.61,1,0
32,49,141.84,2.61,2,0
32,49,143.67,2.67,2,0
32,49,152.5,2.7,4,0
32,49,153.17,2.58,4,0
32,49,139.58,2.66,4,0
32,49,143.52,2.61,2,0
32,49,139.88,2.65,4,0
